source,title,link,published,published_dt,imputed_time,compound,label,fetched_at,key
BBC News (Top stories),Sidelined Ukrainians look on with deep scepticism as Trump and Putin meet,https://www.bbc.com/news/articles/cm21l237pkpo?at_medium=RSS&at_campaign=rss,"Fri, 15 Aug 2025 13:38:03 GMT",2025-08-15 13:38:03+00:00,False,-0.2023,negative,2025-08-15 18:33:26.605639+00:00,71b3a683da7cd35650eabd3d3cf1591b
The Guardian (UK),"My summer holiday by JD Vance, aged 41 years and a few days | John Crace",https://www.theguardian.com/politics/2025/aug/15/my-summer-holiday-by-jd-vance,"Fri, 15 Aug 2025 10:28:18 GMT",2025-08-15 10:28:18+00:00,False,0.4019,positive,2025-08-15 18:33:26.605639+00:00,9b3f818cc6127fa0879f2e09aebe2279
The Guardian (UK),"As Netanyahu starves Gaza, there is a whole new battle to be fought in Israel – against complacency | Aluf Benn",https://www.theguardian.com/commentisfree/2025/aug/15/benjamin-netanyahu-gaza-starve-israel-tel-aviv,"Fri, 15 Aug 2025 16:49:59 GMT",2025-08-15 16:49:59+00:00,False,-0.802,negative,2025-08-15 18:33:26.605639+00:00,6c6dc5d70854a71fcced5008e6274fad
The Guardian (UK),The egg flight trend: Tim Dowling ranks 10 boiled egg appetisers - from perfect to never again,https://www.theguardian.com/food/2025/aug/15/the-egg-flight-trend-tim-dowling-ranks-10-boiled-egg-appetisers-from-perfect-to-never-again,"Fri, 15 Aug 2025 13:16:06 GMT",2025-08-15 13:16:06+00:00,False,0.5719,positive,2025-08-15 18:33:26.605639+00:00,05ee8106379c09d3a63b8cd62f93b660
The Guardian (UK),‘Carrie had nothing to do but wander around in couture’: how Sex and the City’s characters deserved better,https://www.theguardian.com/tv-and-radio/2025/aug/15/carrie-had-nothing-to-do-but-wander-around-in-couture-how-sex-and-the-citys-characters-deserved-better,"Fri, 15 Aug 2025 13:56:02 GMT",2025-08-15 13:56:02+00:00,False,0.5927,positive,2025-08-15 18:33:26.605639+00:00,14934560d7446890421a2ffb7de17cc9
The Guardian (UK),"‘I am tough’ – Emma Raducanu on legacy of US Open win, stalking ordeal and why therapy won’t help her",https://www.theguardian.com/sport/2025/aug/15/i-am-tough-emma-raducanu-on-legacy-of-her-us-open-win-stalking-ordeal-and-why-therapy-wont-help-her,"Fri, 15 Aug 2025 13:16:00 GMT",2025-08-15 13:16:00+00:00,False,0.7579,positive,2025-08-15 18:33:26.605639+00:00,e731a70d19ebcb9fa916aeba845ce7af
The Guardian (UK),"Laid back, unreliable, free-spirited: the ‘type B’ personality is having a moment",https://www.theguardian.com/wellness/2025/aug/15/type-b-personality-trend-tiktok,"Fri, 15 Aug 2025 16:00:36 GMT",2025-08-15 16:00:36+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,9cdfae2e6a31293819efee55ab53ff50
The Guardian (UK),From Alex Kingston to Paul from Neighbours: every Strictly Come Dancing 2025 contestant rated,https://www.theguardian.com/tv-and-radio/2025/aug/15/from-alex-kingston-to-paul-from-neighbours-every-strictly-come-dancing-2025-contestant-rated,"Fri, 15 Aug 2025 14:27:51 GMT",2025-08-15 14:27:51+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,d982982046ca682ff18c3ea0137b554e
The Guardian (UK),"‘I was bawling my eyes out’: Sheridan Smith on drink, death and the hardest role of her career",https://www.theguardian.com/culture/2025/aug/15/sheridan-smith-interview-ann-ming-i-foughgt-the-law,"Fri, 15 Aug 2025 12:00:32 GMT",2025-08-15 12:00:32+00:00,False,-0.5994,negative,2025-08-15 18:33:26.605639+00:00,5ca453405f5c9f308d5cf364dda71583
The Guardian (UK),Remember when having women in power was supposed to change everything? | Gaby Hinsliff,https://www.theguardian.com/commentisfree/2025/aug/15/nicola-sturgeon-angela-merkel-jacinda-ardern-women-in-power,"Fri, 15 Aug 2025 06:00:25 GMT",2025-08-15 06:00:25+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,042e9090d442bbf23b3ff15cb3576c9a
The Guardian (UK),"Box, run, crash: China’s humanoid robot games show advances and limitations",https://www.theguardian.com/world/2025/aug/15/china-world-humanoid-robot-games-advances-limitations,"Fri, 15 Aug 2025 12:17:13 GMT",2025-08-15 12:17:13+00:00,False,-0.4019,negative,2025-08-15 18:33:26.605639+00:00,adcc5d715728c25e82a5cfec202a5fb5
The Guardian (UK),‘Hellish’: heatwave brings hottest nights on record to the Middle East,https://www.theguardian.com/world/2025/aug/15/hellish-heatwave-brings-hottest-nights-on-record-to-the-middle-east,"Fri, 15 Aug 2025 16:49:56 GMT",2025-08-15 16:49:56+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,a0ea69cfd7e0dfe1f5cfa43220326bf9
The Guardian (UK),‘I thought no one would believe me’: Wallaby sightings reported in Suffolk,https://www.theguardian.com/uk-news/2025/aug/15/two-wallaby-sightings-reported-in-suffolk,"Fri, 15 Aug 2025 17:07:33 GMT",2025-08-15 17:07:33+00:00,False,-0.296,negative,2025-08-15 18:33:26.605639+00:00,c3903ada9a1187d350025739358dbe41
The Guardian (UK),Public warned to keep away from injured dolphin filmed with Dorset swimmers,https://www.theguardian.com/environment/2025/aug/15/public-warned-to-keep-away-from-injured-dolphin-filmed-with-dorset-swimmers,"Fri, 15 Aug 2025 18:04:29 GMT",2025-08-15 18:04:29+00:00,False,-0.5859,negative,2025-08-15 18:33:26.605639+00:00,e349b3f4790fae6e4f13524e4ec51cec
The Guardian (UK),UK rights watchdog warns against ‘heavy-handed’ policing of Gaza protests,https://www.theguardian.com/world/2025/aug/15/uk-rights-watchdog-warns-heavy-handed-policing-gaza-protests,"Fri, 15 Aug 2025 11:41:26 GMT",2025-08-15 11:41:26+00:00,False,-0.3182,negative,2025-08-15 18:33:26.605639+00:00,ea343e17c0c6d873e347370b25eb2172
The Guardian (UK),Men celebrate fourth anniversary of Taliban’s return to power in Afghanistan,https://www.theguardian.com/world/2025/aug/15/celebrations-anniversary-taliban-afghanistan-kabul-flower-shower,"Fri, 15 Aug 2025 17:16:23 GMT",2025-08-15 17:16:23+00:00,False,0.5719,positive,2025-08-15 18:33:26.605639+00:00,0b8ceaf02738a590b57324d400fdc898
The Guardian (UK),Stalking victim says UK police did not take her ‘years of hell’ seriously,https://www.theguardian.com/society/2025/aug/15/stalking-victim-says-uk-police-did-not-take-her-years-of-hell-seriously,"Fri, 15 Aug 2025 14:40:04 GMT",2025-08-15 14:40:04+00:00,False,-0.4215,negative,2025-08-15 18:33:26.605639+00:00,7720da799f5c7b54b070e76bc7d4de7c
The Guardian (UK),Judge urged to shut down hotel housing asylum seekers in Epping,https://www.theguardian.com/uk-news/2025/aug/15/judge-urged-to-shut-down-hotel-housing-asylum-seekers-in-epping,"Fri, 15 Aug 2025 16:25:23 GMT",2025-08-15 16:25:23+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,daa6e486e5852f14020cac434087d226
The Guardian (UK),Labour moves to find successor to Diane Abbott for her north London seat,https://www.theguardian.com/politics/2025/aug/15/diane-abbott-suspension-labour-mp-successor,"Fri, 15 Aug 2025 17:28:32 GMT",2025-08-15 17:28:32+00:00,False,0.2263,positive,2025-08-15 18:33:26.605639+00:00,ea51876ad214cb42ce8b53c79bf28b9c
The Guardian (UK),Booze up: is gen Z’s ‘sensible’ relationship with alcohol moving towards hedonism?,https://www.theguardian.com/society/2025/aug/15/booze-gen-z-sensible-relationship-alcohol-hedonism,"Fri, 15 Aug 2025 12:02:08 GMT",2025-08-15 12:02:08+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,a6bbaefd2dcc949232283e8f0fdfac86
The Guardian (UK),Israeli unit tasked with smearing Gaza journalists as Hamas fighters – report,https://www.theguardian.com/world/2025/aug/15/israeli-military-unit-reportedly-tasked-with-linking-journalists-in-gaza-to-hamas,"Fri, 15 Aug 2025 17:00:37 GMT",2025-08-15 17:00:37+00:00,False,-0.0516,negative,2025-08-15 18:33:26.605639+00:00,56ed28a04119173706532c42b8943537
The Guardian (UK),China and Britain shared a mission to fight aggression and fascism. And we can work together today | Zheng Zeguang,https://www.theguardian.com/commentisfree/2025/aug/15/china-britain-fascism-vj-day-history-global-uncertainty,"Fri, 15 Aug 2025 08:00:26 GMT",2025-08-15 08:00:26+00:00,False,-0.34,negative,2025-08-15 18:33:26.605639+00:00,82b0b41b0704f2d1e9282a907ab19b43
The Guardian (UK),Digested week: Tales of a royal tantrums and hostilities in the House of Beckham | Emma Brockes,https://www.theguardian.com/uk-news/2025/aug/15/digested-week-tales-of-royal-tantrums-and-hostilities-in-the-house-of-beckham,"Fri, 15 Aug 2025 11:58:34 GMT",2025-08-15 11:58:34+00:00,False,-0.6808,negative,2025-08-15 18:33:26.605639+00:00,e91861fb97b36b9231d6a7c4cb48ebab
The Guardian (UK),King Charles leads 80th VJ Day commemoration in UK,https://www.theguardian.com/world/2025/aug/15/king-charles-leads-80th-vj-day-commemoration-in-uk,"Fri, 15 Aug 2025 16:49:24 GMT",2025-08-15 16:49:24+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,4d09c30ab86ab813cdd4288d1836e7c9
The Guardian (UK),Flash floods kill at least 159 people in Pakistan after huge cloudburst,https://www.theguardian.com/world/2025/aug/15/flash-floods-pakistan-huge-cloudburst-flooding-landslides-india,"Fri, 15 Aug 2025 15:32:34 GMT",2025-08-15 15:32:34+00:00,False,-0.5267,negative,2025-08-15 18:33:26.605639+00:00,a964cdef726821cdbecf67f82de140b9
The Guardian (UK),White House defends DC takeover of police after city alleges ‘brazen usurpation’ in lawsuit against Trump administration – live,https://www.theguardian.com/us-news/live/2025/aug/15/washington-dc-donald-trump-protests-us-politics-latest-updates-news,"Fri, 15 Aug 2025 18:18:32 GMT",2025-08-15 18:18:32+00:00,False,-0.2263,negative,2025-08-15 18:33:26.605639+00:00,e013089ca2c3458721765c8adb68b95c
The Guardian (UK),"Your Guardian sport weekend: Premier League, Rugby Championship and more",https://www.theguardian.com/sport/2025/aug/15/your-guardian-sport-weekend-rugby-championship-premier-league-and-more,"Fri, 15 Aug 2025 16:00:36 GMT",2025-08-15 16:00:36+00:00,False,0.4404,positive,2025-08-15 18:33:26.605639+00:00,164b4e91ab8cd2a9d7e6eb6947745932
The Guardian (UK),Talking Horses: Grant Wood can overturn tables in Ripon handicap,https://www.theguardian.com/sport/blog/2025/aug/15/talking-horses-grant-wood-can-overturn-tables-in-ripon-handicap,"Fri, 15 Aug 2025 16:15:09 GMT",2025-08-15 16:15:09+00:00,False,0.3612,positive,2025-08-15 18:33:26.605639+00:00,b528de777c16648a2cd7c2ff01340e56
The Guardian (UK),Jacob Bethell to become England’s youngest men’s captain in Ireland T20s,https://www.theguardian.com/sport/2025/aug/15/jacob-bethell-to-make-england-cricket-history-at-t20s-in-ireland,"Fri, 15 Aug 2025 16:02:07 GMT",2025-08-15 16:02:07+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,a5750381cdcf23beedd973ab75c5a262
The Guardian (UK),Michael Johnson admits Grand Slam Track on hold until 2025 debts are paid,https://www.theguardian.com/sport/2025/aug/15/grand-slam-track-2026-season-on-hold-michael-johnson-prize-money,"Fri, 15 Aug 2025 17:59:49 GMT",2025-08-15 17:59:49+00:00,False,0.3818,positive,2025-08-15 18:33:26.605639+00:00,f2b206091582050e1bb8fc5483846234
The Guardian (UK),"Firefighter, mother, tattooist: three rugby part-timers on their sacrifices to live a World Cup dream",https://www.theguardian.com/sport/2025/aug/15/rugby-union-womens-world-cup-firefighter-mother-tattooist-part-timers-sacrifices,"Fri, 15 Aug 2025 07:00:26 GMT",2025-08-15 07:00:26+00:00,False,0.25,positive,2025-08-15 18:33:26.605639+00:00,66909078fc7d1f6dc691ccda154b5472
The Guardian (UK),Loneliness is rife among young men. It’s time to get offline and talk to each other | Alexander Hurst,https://www.theguardian.com/commentisfree/2025/aug/15/loneliness-rife-young-men-get-offline-talk-to-each-other,"Fri, 15 Aug 2025 04:00:21 GMT",2025-08-15 04:00:21+00:00,False,-0.5106,negative,2025-08-15 18:33:26.605639+00:00,fb8a153acb0f564b403e3910e6ff09cb
The Guardian (UK),Keely Hodgkinson excited to end year of injuries with return to 800m,https://www.theguardian.com/sport/2025/aug/15/keely-hodgkinson-excited-to-end-year-of-injuries-wih-return-to-800m,"Fri, 15 Aug 2025 16:25:49 GMT",2025-08-15 16:25:49+00:00,False,0.34,positive,2025-08-15 18:33:26.605639+00:00,038283833645de1ae0d3aa918bb4f822
The Guardian (UK),Liverpool v Bournemouth: Premier League season opener – live,https://www.theguardian.com/football/live/2025/aug/15/liverpool-v-bournemouth-premier-league-live,"Fri, 15 Aug 2025 18:07:46 GMT",2025-08-15 18:07:46+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,2d5d5e54763cbfd0e80928c037e0b8d2
The Guardian (UK),Martin Rowson on Trump and Putin’s meeting in Alaska – cartoon,https://www.theguardian.com/commentisfree/picture/2025/aug/15/martin-rowson-donald-trump-vladimir-putin-alaska-cartoon,"Fri, 15 Aug 2025 15:26:47 GMT",2025-08-15 15:26:47+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,92d7b990b97a3f56d6ce8e312e926fa9
The Guardian (UK),"In times of despair, try to glimpse the stars | Letters",https://www.theguardian.com/culture/2025/aug/15/in-times-of-despair-try-to-glimpse-the-stars,"Fri, 15 Aug 2025 14:58:35 GMT",2025-08-15 14:58:35+00:00,False,-0.3182,negative,2025-08-15 18:33:26.605639+00:00,223abe9cc71d0503756b4b39544d040a
The Guardian (UK),Tinnitus: you don’t have to live with it | Letters,https://www.theguardian.com/society/2025/aug/15/tinnitus-you-dont-have-to-live-with-it,"Fri, 15 Aug 2025 14:53:45 GMT",2025-08-15 14:53:45+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,9425bf823c37f012a7b4a3e887fec760
The Guardian (UK),The dark side of ‘shrinking girl summer’ | Letters,https://www.theguardian.com/lifeandstyle/2025/aug/15/the-dark-side-of-shrinking-girl-summer,"Fri, 15 Aug 2025 14:57:09 GMT",2025-08-15 14:57:09+00:00,False,0.0,neutral,2025-08-15 18:33:26.605639+00:00,758250b1f18d81891644a76fb63bd637
The Guardian (UK),I am a gender non-conforming woman: here is what my life is like | Letters,https://www.theguardian.com/world/2025/aug/15/i-am-a-gender-non-conforming-woman-here-is-what-my-life-is-like,"Fri, 15 Aug 2025 14:54:23 GMT",2025-08-15 14:54:23+00:00,False,0.3612,positive,2025-08-15 18:33:26.605639+00:00,7ccd717cad3ba8d52bb4bb1868f07557
The Guardian (UK),The Guardian view on France’s wine crisis: the answer to claret could be clairet | Editorial,https://www.theguardian.com/commentisfree/2025/aug/15/the-guardian-view-on-frances-wine-crisis-the-answer-to-claret-could-be-clairet,"Fri, 15 Aug 2025 16:04:50 GMT",2025-08-15 16:04:50+00:00,False,-0.6249,negative,2025-08-15 18:33:26.605639+00:00,d76b1d97e16feec55a5e7478631b20d4
The Guardian (UK),"The Guardian view on the collapse of environmental talks: petrostates blocked a global plastics deal, but we must not despair | Editorial",https://www.theguardian.com/commentisfree/2025/aug/15/the-guardian-view-on-the-collapse-of-environmental-talks-petrostates-blocked-a-global-plastics-deal-but-we-must-not-despair,"Fri, 15 Aug 2025 16:05:16 GMT",2025-08-15 16:05:16+00:00,False,-0.0534,negative,2025-08-15 18:33:26.605639+00:00,cdd499e70b1cbb7cf5fbdda94984caf9
